method,context,repeat,x,set,metric_name,gene,value
PMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,correlation,all,0.5685002749536547
PMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,correlation,de,0.7767833185227495
PMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,correlation,hvg,0.6323248542464798
PMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mae,all,0.08312098744147307
PMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mae,de,0.213872759057975
PMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mae,hvg,0.10387601805584912
PMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mse,all,0.015377060405660819
PMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mse,de,0.09365000753427541
PMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mse,hvg,0.02507891163829266
PMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_bias,all,-0.1945162615498215
PMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_bias,de,-0.23853057020345717
PMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_bias,hvg,-0.1856722028605294
PMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_correlation,all,0.33696805013863657
PMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_correlation,de,0.5517407652746775
PMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_correlation,hvg,0.30785956791124935
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.3049982489419231
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,0.5798804601246874
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.3428723248667408
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.058282991589653985
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.1420446542667663
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.06799130993913625
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.007047346499300273
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.03865447208459623
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.010347954860474717
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,0.03261899667583541
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.05541674284711172
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,0.0526031286943061
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.3616282007581374
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,0.4442818663862555
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.41498374035317814
PMean,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,correlation,all,0.5685002749536547
PMean,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,correlation,de,0.7767833185227495
