method,context,repeat,x,set,metric_name,gene,value
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,correlation,all,0.0021485829245701644
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,correlation,de,-0.029911539278610087
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,correlation,hvg,-9.088280979592343e-05
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mae,all,0.09405552206100791
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mae,de,0.4270256645319571
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mae,hvg,0.1317401204803518
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mse,all,0.022593384599757727
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mse,de,0.29291667725229
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mse,hvg,0.043274231140866246
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_bias,all,-0.6993302232846964
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_bias,de,-0.8298268708844808
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_bias,hvg,-0.7894804630777026
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_correlation,all,-0.44482576952318087
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_correlation,de,-0.6466064486748423
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_correlation,hvg,-0.546614466984192
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0006927471108648319
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,0.002056231635404389
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.002020957874457968
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.055406993149991514
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.20770668124630823
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.06679557771264256
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.00725694077044493
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.07983385391073226
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.011745610529547895
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.3304304854740319
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.41730890336965165
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.3832754691070999
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.2513494228821534
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.12040393352767907
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.3107310797036313
PRESAGE,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,correlation,all,0.3968068538745904
PRESAGE,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,correlation,de,0.6564249755157807
PRESAGE,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,correlation,hvg,0.5569921404143597
PRESAGE,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mae,all,0.08915753341740189
PRESAGE,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mae,de,0.3600413988889572
PRESAGE,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mae,hvg,0.11730619080775857
PRESAGE,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mse,all,0.019428440068112167
PRESAGE,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mse,de,0.2230781362792957
PRESAGE,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mse,hvg,0.03368584137724051
PRESAGE,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_bias,all,-0.08911437867576659
PRESAGE,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_bias,de,0.0523929271140895
PRESAGE,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_bias,hvg,-0.06450510816535121
PRESAGE,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_correlation,all,-0.27754255414560375
