method,context,repeat,x,set,metric_name,gene,value
CMean,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,correlation,all,-0.024517971690389197
CMean,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,correlation,de,-0.07920954135610757
CMean,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,correlation,hvg,-0.07128146824205976
CMean,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mae,all,0.05708614211177499
CMean,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mae,de,0.2845048208594078
CMean,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mae,hvg,0.06202229812832337
CMean,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mse,all,0.007688974293207178
CMean,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mse,de,0.13393919347172772
CMean,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mse,hvg,0.009919344143432015
CMean,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_bias,all,-0.47064071715944816
CMean,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_bias,de,-0.6615958508050782
CMean,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_bias,hvg,-0.610273054836008
CMean,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_correlation,all,-0.09877508293458179
CMean,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_correlation,de,-0.34112475469927683
CMean,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_correlation,hvg,-0.1299493354756786
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,all,-0.005061061366915933
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,de,-0.011092846889495337
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,hvg,-0.027473953985504677
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,mae,all,0.04973048839708491
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,mae,de,0.20462568323802266
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,mae,hvg,0.05226198488069691
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,mse,all,0.005715843855172368
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,mse,de,0.06991064467414389
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,mse,hvg,0.006802109405711319
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,all,-0.30515321525733136
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,de,-0.3969135042904113
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,hvg,-0.39052736821760503
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,all,0.14925601130003416
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,de,-0.11331738100280925
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,hvg,0.18677661960948924
CMean,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,correlation,all,0.09049555696904964
CMean,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,correlation,de,0.1173858537628112
CMean,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,correlation,hvg,0.11842306360802175
CMean,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mae,all,0.05912060111507018
CMean,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mae,de,0.2756288848035896
CMean,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mae,hvg,0.06414363770851168
CMean,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mse,all,0.00793599007432222
CMean,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mse,de,0.12895460697934727
CMean,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mse,hvg,0.0100622755831238
CMean,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_bias,all,-0.22504244388117292
CMean,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_bias,de,-0.38501821358067384
CMean,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_bias,hvg,-0.2583920451619376
CMean,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_correlation,all,-0.059358196060564805
CMean,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_correlation,de,-0.24528813014146916
CMean,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_correlation,hvg,-0.06183254241272886
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,all,0.06473291614745492
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,de,0.049432803629687654
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,hvg,0.04754111858775342
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,mae,all,0.0526525786455668
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,mae,de,0.20085793544723063
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,mae,hvg,0.05596770394743247
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,mse,all,0.006112687892785122
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,mse,de,0.06938530990848814
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,mse,hvg,0.0074026863237564465
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,systema_bias,all,-0.06020536928569051
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,systema_bias,de,-0.14300760349435584
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,systema_bias,hvg,-0.03922827270822262
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,systema_correlation,all,0.09994645578101963
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,systema_correlation,de,-0.09122309028942502
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,systema_correlation,hvg,0.11998312621392045
CMean,nadig_jurkat_essential_jurkat,0,0.9,cluster_test,correlation,all,0.28032100118491604
CMean,nadig_jurkat_essential_jurkat,0,0.9,cluster_test,correlation,de,0.33258120951385434
CMean,nadig_jurkat_essential_jurkat,0,0.9,cluster_test,correlation,hvg,0.2980984376428689
CMean,nadig_jurkat_essential_jurkat,0,0.9,cluster_test,mae,all,0.05649626311225288
CMean,nadig_jurkat_essential_jurkat,0,0.9,cluster_test,mae,de,0.2566885299444727
CMean,nadig_jurkat_essential_jurkat,0,0.9,cluster_test,mae,hvg,0.06090828915665064
CMean,nadig_jurkat_essential_jurkat,0,0.9,cluster_test,mse,all,0.0073828544373667334
CMean,nadig_jurkat_essential_jurkat,0,0.9,cluster_test,mse,de,0.12171319480233043
CMean,nadig_jurkat_essential_jurkat,0,0.9,cluster_test,mse,hvg,0.009325617340900042
CMean,nadig_jurkat_essential_jurkat,0,0.9,cluster_test,systema_bias,all,0.3350839391050854
CMean,nadig_jurkat_essential_jurkat,0,0.9,cluster_test,systema_bias,de,0.2279869955706739
CMean,nadig_jurkat_essential_jurkat,0,0.9,cluster_test,systema_bias,hvg,0.305145413612787
CMean,nadig_jurkat_essential_jurkat,0,0.9,cluster_test,systema_correlation,all,-0.07328087122366059
CMean,nadig_jurkat_essential_jurkat,0,0.9,cluster_test,systema_correlation,de,-0.07300150445713809
CMean,nadig_jurkat_essential_jurkat,0,0.9,cluster_test,systema_correlation,hvg,-0.07895443811763779
CMean,nadig_jurkat_essential_jurkat,0,0.9,test,correlation,all,0.21928676680714246
CMean,nadig_jurkat_essential_jurkat,0,0.9,test,correlation,de,0.2793422129049649
CMean,nadig_jurkat_essential_jurkat,0,0.9,test,correlation,hvg,0.19947416621092856
CMean,nadig_jurkat_essential_jurkat,0,0.9,test,mae,all,0.05151034971379672
CMean,nadig_jurkat_essential_jurkat,0,0.9,test,mae,de,0.182846631103815
CMean,nadig_jurkat_essential_jurkat,0,0.9,test,mae,hvg,0.055118244939158734
CMean,nadig_jurkat_essential_jurkat,0,0.9,test,mse,all,0.005651205888122227
CMean,nadig_jurkat_essential_jurkat,0,0.9,test,mse,de,0.05876306574087472
CMean,nadig_jurkat_essential_jurkat,0,0.9,test,mse,hvg,0.0069386640339542385
CMean,nadig_jurkat_essential_jurkat,0,0.9,test,systema_bias,all,0.5011075270897144
CMean,nadig_jurkat_essential_jurkat,0,0.9,test,systema_bias,de,0.4674429362848644
CMean,nadig_jurkat_essential_jurkat,0,0.9,test,systema_bias,hvg,0.5256273455662885
CMean,nadig_jurkat_essential_jurkat,0,0.9,test,systema_correlation,all,0.026480611017416625
CMean,nadig_jurkat_essential_jurkat,0,0.9,test,systema_correlation,de,0.10858446033552913
CMean,nadig_jurkat_essential_jurkat,0,0.9,test,systema_correlation,hvg,0.02046055670162707
CMean,nadig_jurkat_essential_jurkat,0,10.0,cluster_test,correlation,all,0.3056005412914857
CMean,nadig_jurkat_essential_jurkat,0,10.0,cluster_test,correlation,de,0.3549791173916434
CMean,nadig_jurkat_essential_jurkat,0,10.0,cluster_test,correlation,hvg,0.3239474039124337
CMean,nadig_jurkat_essential_jurkat,0,10.0,cluster_test,mae,all,0.0546457118655048
CMean,nadig_jurkat_essential_jurkat,0,10.0,cluster_test,mae,de,0.26619923992327793
CMean,nadig_jurkat_essential_jurkat,0,10.0,cluster_test,mae,hvg,0.05921505295223506
CMean,nadig_jurkat_essential_jurkat,0,10.0,cluster_test,mse,all,0.007031332039209036
CMean,nadig_jurkat_essential_jurkat,0,10.0,cluster_test,mse,de,0.1226098837895725
CMean,nadig_jurkat_essential_jurkat,0,10.0,cluster_test,mse,hvg,0.009020499454193654
CMean,nadig_jurkat_essential_jurkat,0,10.0,cluster_test,systema_bias,all,0.46346614636590744
CMean,nadig_jurkat_essential_jurkat,0,10.0,cluster_test,systema_bias,de,0.3173712999527457
CMean,nadig_jurkat_essential_jurkat,0,10.0,cluster_test,systema_bias,hvg,0.4190897894831333
CMean,nadig_jurkat_essential_jurkat,0,10.0,cluster_test,systema_correlation,all,-0.20777704744198985
CMean,nadig_jurkat_essential_jurkat,0,10.0,cluster_test,systema_correlation,de,-0.3348443485250747
CMean,nadig_jurkat_essential_jurkat,0,10.0,cluster_test,systema_correlation,hvg,-0.2214921474599763
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,all,0.2740453233585509
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,de,0.34272511280385465
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,hvg,0.2501132882024328
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,mae,all,0.04823423211899942
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,mae,de,0.1891856497704828
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,mae,hvg,0.05124049670253113
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,mse,all,0.005170570360868515
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,mse,de,0.06078686762494917
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,mse,hvg,0.006294978674910017
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,all,0.6293617044763027
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,de,0.5717900488248514
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,hvg,0.6391050595976471
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,all,0.16324855891900575
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,de,0.06682367739107938
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,hvg,0.19468265310086563
CMean,nadig_jurkat_essential_jurkat,0,30.0,cluster_test,correlation,all,0.3001386817220057
CMean,nadig_jurkat_essential_jurkat,0,30.0,cluster_test,correlation,de,0.37235763296451585
CMean,nadig_jurkat_essential_jurkat,0,30.0,cluster_test,correlation,hvg,0.32103473964258955
CMean,nadig_jurkat_essential_jurkat,0,30.0,cluster_test,mae,all,0.054715173088498006
CMean,nadig_jurkat_essential_jurkat,0,30.0,cluster_test,mae,de,0.2681170049510701
CMean,nadig_jurkat_essential_jurkat,0,30.0,cluster_test,mae,hvg,0.05932113434635454
CMean,nadig_jurkat_essential_jurkat,0,30.0,cluster_test,mse,all,0.007073869192365134
CMean,nadig_jurkat_essential_jurkat,0,30.0,cluster_test,mse,de,0.12341920250370614
CMean,nadig_jurkat_essential_jurkat,0,30.0,cluster_test,mse,hvg,0.009078935244335945
CMean,nadig_jurkat_essential_jurkat,0,30.0,cluster_test,systema_bias,all,0.4684120645303632
CMean,nadig_jurkat_essential_jurkat,0,30.0,cluster_test,systema_bias,de,0.34766777613871397
CMean,nadig_jurkat_essential_jurkat,0,30.0,cluster_test,systema_bias,hvg,0.4270718960928798
CMean,nadig_jurkat_essential_jurkat,0,30.0,cluster_test,systema_correlation,all,-0.21852530970542608
CMean,nadig_jurkat_essential_jurkat,0,30.0,cluster_test,systema_correlation,de,-0.3448069607818972
CMean,nadig_jurkat_essential_jurkat,0,30.0,cluster_test,systema_correlation,hvg,-0.2313226865191932
CMean,nadig_jurkat_essential_jurkat,0,30.0,test,correlation,all,0.2854589857872876
CMean,nadig_jurkat_essential_jurkat,0,30.0,test,correlation,de,0.3703450676401331
CMean,nadig_jurkat_essential_jurkat,0,30.0,test,correlation,hvg,0.26143161290771255
CMean,nadig_jurkat_essential_jurkat,0,30.0,test,mae,all,0.04844953730856858
