method,context,repeat,x,set,metric_name,gene,value
GEARS,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,correlation,all,-0.024517971690389197
GEARS,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,correlation,de,-0.07920954135610757
GEARS,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,correlation,hvg,-0.07128146824205976
GEARS,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mae,all,0.05708614211177499
GEARS,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mae,de,0.2845048208594078
GEARS,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mae,hvg,0.06202229812832337
GEARS,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mse,all,0.007688974293207178
GEARS,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mse,de,0.13393919347172772
GEARS,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mse,hvg,0.009919344143432015
GEARS,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_bias,all,-0.47064071715944816
GEARS,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_bias,de,-0.6615958508050782
GEARS,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_bias,hvg,-0.610273054836008
GEARS,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_correlation,all,-0.09877508293458179
GEARS,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_correlation,de,-0.34112475469927683
GEARS,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_correlation,hvg,-0.1299493354756786
GEARS,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,all,-0.005061061366915933
GEARS,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,de,-0.011092846889495337
GEARS,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,hvg,-0.027473953985504677
GEARS,nadig_jurkat_essential_jurkat,0,0.0,test,mae,all,0.04973048839708491
GEARS,nadig_jurkat_essential_jurkat,0,0.0,test,mae,de,0.20462568323802266
GEARS,nadig_jurkat_essential_jurkat,0,0.0,test,mae,hvg,0.05226198488069691
GEARS,nadig_jurkat_essential_jurkat,0,0.0,test,mse,all,0.005715843855172368
GEARS,nadig_jurkat_essential_jurkat,0,0.0,test,mse,de,0.06991064467414389
GEARS,nadig_jurkat_essential_jurkat,0,0.0,test,mse,hvg,0.006802109405711319
GEARS,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,all,-0.30515321525733136
GEARS,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,de,-0.3969135042904113
GEARS,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,hvg,-0.39052736821760503
GEARS,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,all,0.14925601130003416
GEARS,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,de,-0.11331738100280925
GEARS,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,hvg,0.18677661960948924
GEARS,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,correlation,all,0.10440133986474416
GEARS,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,correlation,de,0.0881876138706036
GEARS,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,correlation,hvg,0.09782485868815632
GEARS,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mae,all,0.06642422805696262
GEARS,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mae,de,0.26542822403027194
GEARS,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mae,hvg,0.07139644203134583
GEARS,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mse,all,0.009037699947296704
GEARS,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mse,de,0.1222048158576322
GEARS,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mse,hvg,0.011237713829569703
GEARS,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_bias,all,-0.2352978523727184
GEARS,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_bias,de,-0.392700111116222
GEARS,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_bias,hvg,-0.31627853389832944
GEARS,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_correlation,all,-0.011700904195714837
GEARS,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_correlation,de,-0.15657118619525645
GEARS,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_correlation,hvg,-0.020032823444253403
GEARS,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,all,0.04221266785039743
GEARS,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,de,-0.012790320200225668
GEARS,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,hvg,0.017905611314335074
GEARS,nadig_jurkat_essential_jurkat,0,0.4,test,mae,all,0.06348563033925841
GEARS,nadig_jurkat_essential_jurkat,0,0.4,test,mae,de,0.20812037164569325
GEARS,nadig_jurkat_essential_jurkat,0,0.4,test,mae,hvg,0.0668035739933895
GEARS,nadig_jurkat_essential_jurkat,0,0.4,test,mse,all,0.007916272161398752
GEARS,nadig_jurkat_essential_jurkat,0,0.4,test,mse,de,0.0724942518051596
GEARS,nadig_jurkat_essential_jurkat,0,0.4,test,mse,hvg,0.009298834136639695
GEARS,nadig_jurkat_essential_jurkat,0,0.4,test,systema_bias,all,-0.06609661191955442
GEARS,nadig_jurkat_essential_jurkat,0,0.4,test,systema_bias,de,-0.1252384512589325
GEARS,nadig_jurkat_essential_jurkat,0,0.4,test,systema_bias,hvg,-0.09258802887907151
GEARS,nadig_jurkat_essential_jurkat,0,0.4,test,systema_correlation,all,0.04174409398013347
GEARS,nadig_jurkat_essential_jurkat,0,0.4,test,systema_correlation,de,-0.12129030838863676
GEARS,nadig_jurkat_essential_jurkat,0,0.4,test,systema_correlation,hvg,0.061471495338021376
GEARS,nadig_jurkat_essential_jurkat,0,0.9,cluster_test,correlation,all,0.23458142253733902
GEARS,nadig_jurkat_essential_jurkat,0,0.9,cluster_test,correlation,de,0.2880705459876754
GEARS,nadig_jurkat_essential_jurkat,0,0.9,cluster_test,correlation,hvg,0.2517018896669579
GEARS,nadig_jurkat_essential_jurkat,0,0.9,cluster_test,mae,all,0.07012666643780442
