method,context,repeat,x,set,metric_name,gene,value
LM,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,correlation,all,-0.024517971690389197
LM,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,correlation,de,-0.07920954135610757
LM,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,correlation,hvg,-0.07128146824205976
LM,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mae,all,0.05708614211177499
LM,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mae,de,0.2845048208594078
LM,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mae,hvg,0.06202229812832337
LM,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mse,all,0.007688974293207178
LM,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mse,de,0.13393919347172772
LM,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mse,hvg,0.009919344143432015
LM,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_bias,all,-0.47064071715944816
LM,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_bias,de,-0.6615958508050782
LM,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_bias,hvg,-0.610273054836008
LM,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_correlation,all,-0.09877508293458179
LM,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_correlation,de,-0.34112475469927683
LM,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_correlation,hvg,-0.1299493354756786
LM,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,all,-0.005061061366915933
LM,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,de,-0.011092846889495337
LM,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,hvg,-0.027473953985504677
LM,nadig_jurkat_essential_jurkat,0,0.0,test,mae,all,0.04973048839708491
LM,nadig_jurkat_essential_jurkat,0,0.0,test,mae,de,0.20462568323802266
LM,nadig_jurkat_essential_jurkat,0,0.0,test,mae,hvg,0.05226198488069691
LM,nadig_jurkat_essential_jurkat,0,0.0,test,mse,all,0.005715843855172368
LM,nadig_jurkat_essential_jurkat,0,0.0,test,mse,de,0.06991064467414389
LM,nadig_jurkat_essential_jurkat,0,0.0,test,mse,hvg,0.006802109405711319
LM,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,all,-0.30515321525733136
LM,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,de,-0.3969135042904113
LM,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,hvg,-0.39052736821760503
LM,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,all,0.14925601130003416
LM,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,de,-0.11331738100280925
LM,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,hvg,0.18677661960948924
LM,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,correlation,all,0.05788156542960124
LM,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,correlation,de,0.09464741698976982
LM,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,correlation,hvg,0.08125139622944991
LM,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mae,all,0.06614295932405526
LM,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mae,de,0.2741083566841722
LM,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mae,hvg,0.07087825796517261
LM,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mse,all,0.010089574138016075
LM,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mse,de,0.1297235019670827
LM,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mse,hvg,0.012277324939366348
LM,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_bias,all,-0.316735109849242
LM,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_bias,de,-0.397110071781143
LM,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_bias,hvg,-0.33757538540484927
LM,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_correlation,all,-0.03585475762300286
LM,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_correlation,de,-0.21745658299337878
LM,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_correlation,hvg,-0.03766992246978169
LM,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,all,0.035021814341927124
LM,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,de,0.0276485404432922
LM,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,hvg,0.02146109266123025
LM,nadig_jurkat_essential_jurkat,0,0.4,test,mae,all,0.056004298268265834
LM,nadig_jurkat_essential_jurkat,0,0.4,test,mae,de,0.2026062512617611
LM,nadig_jurkat_essential_jurkat,0,0.4,test,mae,hvg,0.05916354193714901
LM,nadig_jurkat_essential_jurkat,0,0.4,test,mse,all,0.006856764368396727
LM,nadig_jurkat_essential_jurkat,0,0.4,test,mse,de,0.0705257240200363
