method,context,repeat,x,set,metric_name,gene,value
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,correlation,all,-0.024517971690389197
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,correlation,de,-0.07920954135610757
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,correlation,hvg,-0.07128146824205976
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mae,all,0.05708614211177499
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mae,de,0.2845048208594078
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mae,hvg,0.06202229812832337
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mse,all,0.007688974293207178
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mse,de,0.13393919347172772
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,mse,hvg,0.009919344143432015
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_bias,all,-0.47064071715944816
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_bias,de,-0.6615958508050782
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_bias,hvg,-0.610273054836008
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_correlation,all,-0.09877508293458179
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_correlation,de,-0.34112475469927683
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,cluster_test,systema_correlation,hvg,-0.1299493354756786
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,all,-0.005061061366915933
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,de,-0.011092846889495337
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,hvg,-0.027473953985504677
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mae,all,0.04973048839708491
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mae,de,0.20462568323802266
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mae,hvg,0.05226198488069691
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mse,all,0.005715843855172368
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mse,de,0.06991064467414389
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mse,hvg,0.006802109405711319
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,all,-0.30515321525733136
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,de,-0.3969135042904113
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,hvg,-0.39052736821760503
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,all,0.14925601130003416
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,de,-0.11331738100280925
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,hvg,0.18677661960948924
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,correlation,all,0.05052495843302344
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,correlation,de,0.07433645202990098
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,correlation,hvg,0.06778307745591904
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mae,all,0.05895666348337465
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mae,de,0.2804782464879532
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mae,hvg,0.0638716632916052
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mse,all,0.007874105879742958
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mse,de,0.13133112630892982
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,mse,hvg,0.010049539386231024
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_bias,all,-0.33144336134289976
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_bias,de,-0.4373120990853416
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_bias,hvg,-0.3563563652827025
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_correlation,all,-0.07101220447159644
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_correlation,de,-0.298983818567058
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,cluster_test,systema_correlation,hvg,-0.09101822358772607
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,all,0.02714385966871193
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,de,-0.0024353156324774913
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,hvg,0.0228764470042763
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,test,mae,all,0.05214295172786152
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,test,mae,de,0.2036823045454726
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,test,mae,hvg,0.05488386741888904
PRESAGE,nadig_jurkat_essential_jurkat,0,0.4,test,mse,all,0.006002523850720642
