method,context,repeat,x,set,metric_name,gene,value
CMean,replogle_k562_essential_k562,0,0.0,cluster_test,correlation,all,0.006910527190244947
CMean,replogle_k562_essential_k562,0,0.0,cluster_test,correlation,de,-0.04603513498343292
CMean,replogle_k562_essential_k562,0,0.0,cluster_test,correlation,hvg,-0.015174868750480418
CMean,replogle_k562_essential_k562,0,0.0,cluster_test,mae,all,0.05713563930409688
CMean,replogle_k562_essential_k562,0,0.0,cluster_test,mae,de,0.29043984028619385
CMean,replogle_k562_essential_k562,0,0.0,cluster_test,mae,hvg,0.06373238405675183
CMean,replogle_k562_essential_k562,0,0.0,cluster_test,mse,all,0.007563837855498225
CMean,replogle_k562_essential_k562,0,0.0,cluster_test,mse,de,0.1160861404241948
CMean,replogle_k562_essential_k562,0,0.0,cluster_test,mse,hvg,0.010174660388705802
CMean,replogle_k562_essential_k562,0,0.0,cluster_test,systema_bias,all,-0.36663281937944653
CMean,replogle_k562_essential_k562,0,0.0,cluster_test,systema_bias,de,-0.573142413801064
CMean,replogle_k562_essential_k562,0,0.0,cluster_test,systema_bias,hvg,-0.44916746593597834
CMean,replogle_k562_essential_k562,0,0.0,cluster_test,systema_correlation,all,-0.12349650034975332
CMean,replogle_k562_essential_k562,0,0.0,cluster_test,systema_correlation,de,-0.419188106435735
CMean,replogle_k562_essential_k562,0,0.0,cluster_test,systema_correlation,hvg,-0.14873922633638403
CMean,replogle_k562_essential_k562,0,0.0,test,correlation,all,0.01918393843850687
CMean,replogle_k562_essential_k562,0,0.0,test,correlation,de,-0.0014981539482481572
CMean,replogle_k562_essential_k562,0,0.0,test,correlation,hvg,0.014094003087245783
CMean,replogle_k562_essential_k562,0,0.0,test,mae,all,0.03572617515769707
CMean,replogle_k562_essential_k562,0,0.0,test,mae,de,0.14629225656314454
CMean,replogle_k562_essential_k562,0,0.0,test,mae,hvg,0.03774293702344178
CMean,replogle_k562_essential_k562,0,0.0,test,mse,all,0.0028231822249822924
CMean,replogle_k562_essential_k562,0,0.0,test,mse,de,0.03798901890969463
CMean,replogle_k562_essential_k562,0,0.0,test,mse,hvg,0.003506268225457566
CMean,replogle_k562_essential_k562,0,0.0,test,systema_bias,all,-0.20694871069167875
CMean,replogle_k562_essential_k562,0,0.0,test,systema_bias,de,-0.29672905602678507
CMean,replogle_k562_essential_k562,0,0.0,test,systema_bias,hvg,-0.24203987894777912
CMean,replogle_k562_essential_k562,0,0.0,test,systema_correlation,all,0.22777758461537
CMean,replogle_k562_essential_k562,0,0.0,test,systema_correlation,de,-0.09382659325652118
CMean,replogle_k562_essential_k562,0,0.0,test,systema_correlation,hvg,0.2948894634156831
CMean,replogle_k562_essential_k562,0,0.4,cluster_test,correlation,all,0.21928608344796663
CMean,replogle_k562_essential_k562,0,0.4,cluster_test,correlation,de,0.31989853237058424
CMean,replogle_k562_essential_k562,0,0.4,cluster_test,correlation,hvg,0.26380172593243423
CMean,replogle_k562_essential_k562,0,0.4,cluster_test,mae,all,0.05824452991748568
CMean,replogle_k562_essential_k562,0,0.4,cluster_test,mae,de,0.26703050968043873
CMean,replogle_k562_essential_k562,0,0.4,cluster_test,mae,hvg,0.06389133146661102
CMean,replogle_k562_essential_k562,0,0.4,cluster_test,mse,all,0.007526001157014956
CMean,replogle_k562_essential_k562,0,0.4,cluster_test,mse,de,0.10407998161798761
CMean,replogle_k562_essential_k562,0,0.4,cluster_test,mse,hvg,0.00978212358103163
CMean,replogle_k562_essential_k562,0,0.4,cluster_test,systema_bias,all,0.17074479038954865
CMean,replogle_k562_essential_k562,0,0.4,cluster_test,systema_bias,de,0.04761787115495006
CMean,replogle_k562_essential_k562,0,0.4,cluster_test,systema_bias,hvg,0.16807965127191865
CMean,replogle_k562_essential_k562,0,0.4,cluster_test,systema_correlation,all,-0.03720239010352426
CMean,replogle_k562_essential_k562,0,0.4,cluster_test,systema_correlation,de,-0.1034810579985793
CMean,replogle_k562_essential_k562,0,0.4,cluster_test,systema_correlation,hvg,-0.044450218800498556
CMean,replogle_k562_essential_k562,0,0.4,test,correlation,all,0.16870631889668677
CMean,replogle_k562_essential_k562,0,0.4,test,correlation,de,0.24645796007489235
CMean,replogle_k562_essential_k562,0,0.4,test,correlation,hvg,0.17805915312289125
CMean,replogle_k562_essential_k562,0,0.4,test,mae,all,0.04013160015277614
CMean,replogle_k562_essential_k562,0,0.4,test,mae,de,0.129544635755008
CMean,replogle_k562_essential_k562,0,0.4,test,mae,hvg,0.04284343667161864
CMean,replogle_k562_essential_k562,0,0.4,test,mse,all,0.0033043502717438255
CMean,replogle_k562_essential_k562,0,0.4,test,mse,de,0.0336819074565112
CMean,replogle_k562_essential_k562,0,0.4,test,mse,hvg,0.004118578777024973
CMean,replogle_k562_essential_k562,0,0.4,test,systema_bias,all,0.3309307496593909
CMean,replogle_k562_essential_k562,0,0.4,test,systema_bias,de,0.2888290457665424
CMean,replogle_k562_essential_k562,0,0.4,test,systema_bias,hvg,0.3759185771204634
CMean,replogle_k562_essential_k562,0,0.4,test,systema_correlation,all,0.058454850731015265
CMean,replogle_k562_essential_k562,0,0.4,test,systema_correlation,de,0.07020666323341916
CMean,replogle_k562_essential_k562,0,0.4,test,systema_correlation,hvg,0.07631935216216908
CMean,replogle_k562_essential_k562,0,0.9,cluster_test,correlation,all,0.20275791094398354
CMean,replogle_k562_essential_k562,0,0.9,cluster_test,correlation,de,0.28000181507636474
CMean,replogle_k562_essential_k562,0,0.9,cluster_test,correlation,hvg,0.23871662676089148
CMean,replogle_k562_essential_k562,0,0.9,cluster_test,mae,all,0.05642727773865666
CMean,replogle_k562_essential_k562,0,0.9,cluster_test,mae,de,0.2793003514982959
CMean,replogle_k562_essential_k562,0,0.9,cluster_test,mae,hvg,0.062390620754045716
