method,context,repeat,x,set,metric_name,gene,value
GenePert,replogle_k562_essential_k562,0,0.0,cluster_test,correlation,all,0.006910527190244947
GenePert,replogle_k562_essential_k562,0,0.0,cluster_test,correlation,de,-0.04603513498343292
GenePert,replogle_k562_essential_k562,0,0.0,cluster_test,correlation,hvg,-0.015174868750480418
GenePert,replogle_k562_essential_k562,0,0.0,cluster_test,mae,all,0.05713563930409688
GenePert,replogle_k562_essential_k562,0,0.0,cluster_test,mae,de,0.29043984028619385
GenePert,replogle_k562_essential_k562,0,0.0,cluster_test,mae,hvg,0.06373238405675183
GenePert,replogle_k562_essential_k562,0,0.0,cluster_test,mse,all,0.007563837855498225
GenePert,replogle_k562_essential_k562,0,0.0,cluster_test,mse,de,0.1160861404241948
GenePert,replogle_k562_essential_k562,0,0.0,cluster_test,mse,hvg,0.010174660388705802
GenePert,replogle_k562_essential_k562,0,0.0,cluster_test,systema_bias,all,-0.36663281937944653
GenePert,replogle_k562_essential_k562,0,0.0,cluster_test,systema_bias,de,-0.573142413801064
GenePert,replogle_k562_essential_k562,0,0.0,cluster_test,systema_bias,hvg,-0.44916746593597834
GenePert,replogle_k562_essential_k562,0,0.0,cluster_test,systema_correlation,all,-0.12349650034975332
GenePert,replogle_k562_essential_k562,0,0.0,cluster_test,systema_correlation,de,-0.419188106435735
GenePert,replogle_k562_essential_k562,0,0.0,cluster_test,systema_correlation,hvg,-0.14873922633638403
GenePert,replogle_k562_essential_k562,0,0.0,test,correlation,all,0.01918393843850687
GenePert,replogle_k562_essential_k562,0,0.0,test,correlation,de,-0.0014981539482481572
GenePert,replogle_k562_essential_k562,0,0.0,test,correlation,hvg,0.014094003087245783
GenePert,replogle_k562_essential_k562,0,0.0,test,mae,all,0.03572617515769707
GenePert,replogle_k562_essential_k562,0,0.0,test,mae,de,0.14629225656314454
GenePert,replogle_k562_essential_k562,0,0.0,test,mae,hvg,0.03774293702344178
GenePert,replogle_k562_essential_k562,0,0.0,test,mse,all,0.0028231822249822924
GenePert,replogle_k562_essential_k562,0,0.0,test,mse,de,0.03798901890969463
GenePert,replogle_k562_essential_k562,0,0.0,test,mse,hvg,0.003506268225457566
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_bias,all,-0.20694871069167875
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_bias,de,-0.29672905602678507
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_bias,hvg,-0.24203987894777912
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_correlation,all,0.22777758461537
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_correlation,de,-0.09382659325652118
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_correlation,hvg,0.2948894634156831
GenePert,replogle_k562_essential_k562,0,0.4,cluster_test,correlation,all,0.21948695829960732
GenePert,replogle_k562_essential_k562,0,0.4,cluster_test,correlation,de,0.3204907158761514
GenePert,replogle_k562_essential_k562,0,0.4,cluster_test,correlation,hvg,0.26334080599446463
GenePert,replogle_k562_essential_k562,0,0.4,cluster_test,mae,all,0.05831920134509252
GenePert,replogle_k562_essential_k562,0,0.4,cluster_test,mae,de,0.2665754907616429
GenePert,replogle_k562_essential_k562,0,0.4,cluster_test,mae,hvg,0.06392946117034673
GenePert,replogle_k562_essential_k562,0,0.4,cluster_test,mse,all,0.007544642566946637
GenePert,replogle_k562_essential_k562,0,0.4,cluster_test,mse,de,0.10392252517537538
GenePert,replogle_k562_essential_k562,0,0.4,cluster_test,mse,hvg,0.009787874172422046
GenePert,replogle_k562_essential_k562,0,0.4,cluster_test,systema_bias,all,0.170558293987438
GenePert,replogle_k562_essential_k562,0,0.4,cluster_test,systema_bias,de,0.050899026166756574
GenePert,replogle_k562_essential_k562,0,0.4,cluster_test,systema_bias,hvg,0.1699402440864816
GenePert,replogle_k562_essential_k562,0,0.4,cluster_test,systema_correlation,all,-0.03496235629362387
GenePert,replogle_k562_essential_k562,0,0.4,cluster_test,systema_correlation,de,-0.09665592616991055
GenePert,replogle_k562_essential_k562,0,0.4,cluster_test,systema_correlation,hvg,-0.04180546514418811
GenePert,replogle_k562_essential_k562,0,0.4,test,correlation,all,0.16875595837553536
GenePert,replogle_k562_essential_k562,0,0.4,test,correlation,de,0.2473970968672243
GenePert,replogle_k562_essential_k562,0,0.4,test,correlation,hvg,0.17902847230413454
GenePert,replogle_k562_essential_k562,0,0.4,test,mae,all,0.04031205831848511
GenePert,replogle_k562_essential_k562,0,0.4,test,mae,de,0.12906322452468844
GenePert,replogle_k562_essential_k562,0,0.4,test,mae,hvg,0.043062071132918246
GenePert,replogle_k562_essential_k562,0,0.4,test,mse,all,0.003332091778167455
GenePert,replogle_k562_essential_k562,0,0.4,test,mse,de,0.03356651353483236
GenePert,replogle_k562_essential_k562,0,0.4,test,mse,hvg,0.0041535374222995865
GenePert,replogle_k562_essential_k562,0,0.4,test,systema_bias,all,0.3317224013683403
GenePert,replogle_k562_essential_k562,0,0.4,test,systema_bias,de,0.29090476487627026
GenePert,replogle_k562_essential_k562,0,0.4,test,systema_bias,hvg,0.3781211622367883
GenePert,replogle_k562_essential_k562,0,0.4,test,systema_correlation,all,0.05567148666912111
GenePert,replogle_k562_essential_k562,0,0.4,test,systema_correlation,de,0.07495974698396872
GenePert,replogle_k562_essential_k562,0,0.4,test,systema_correlation,hvg,0.07121733954345282
GenePert,replogle_k562_essential_k562,0,0.9,cluster_test,correlation,all,0.19782013822214203
GenePert,replogle_k562_essential_k562,0,0.9,cluster_test,correlation,de,0.28142815610467997
GenePert,replogle_k562_essential_k562,0,0.9,cluster_test,correlation,hvg,0.2329948920877941
GenePert,replogle_k562_essential_k562,0,0.9,cluster_test,mae,all,0.056531752935273905
GenePert,replogle_k562_essential_k562,0,0.9,cluster_test,mae,de,0.27917418945219385
GenePert,replogle_k562_essential_k562,0,0.9,cluster_test,mae,hvg,0.06250374938517123
GenePert,replogle_k562_essential_k562,0,0.9,cluster_test,mse,all,0.007306243750267967
GenePert,replogle_k562_essential_k562,0,0.9,cluster_test,mse,de,0.10956139657180951
GenePert,replogle_k562_essential_k562,0,0.9,cluster_test,mse,hvg,0.009702489862806501
GenePert,replogle_k562_essential_k562,0,0.9,cluster_test,systema_bias,all,0.1531935247817125
GenePert,replogle_k562_essential_k562,0,0.9,cluster_test,systema_bias,de,0.004022511331792921
GenePert,replogle_k562_essential_k562,0,0.9,cluster_test,systema_bias,hvg,0.11735407569248921
GenePert,replogle_k562_essential_k562,0,0.9,cluster_test,systema_correlation,all,-0.10517183733095996
GenePert,replogle_k562_essential_k562,0,0.9,cluster_test,systema_correlation,de,-0.32988064227221775
GenePert,replogle_k562_essential_k562,0,0.9,cluster_test,systema_correlation,hvg,-0.12741813289268375
GenePert,replogle_k562_essential_k562,0,0.9,test,correlation,all,0.1890940347550152
GenePert,replogle_k562_essential_k562,0,0.9,test,correlation,de,0.2926739330256701
GenePert,replogle_k562_essential_k562,0,0.9,test,correlation,hvg,0.19244031280684354
GenePert,replogle_k562_essential_k562,0,0.9,test,mae,all,0.03600319314987417
GenePert,replogle_k562_essential_k562,0,0.9,test,mae,de,0.1369060633900281
GenePert,replogle_k562_essential_k562,0,0.9,test,mae,hvg,0.038245010873328114
GenePert,replogle_k562_essential_k562,0,0.9,test,mse,all,0.002785822960980884
GenePert,replogle_k562_essential_k562,0,0.9,test,mse,de,0.0351897258651108
GenePert,replogle_k562_essential_k562,0,0.9,test,mse,hvg,0.003477058271917503
GenePert,replogle_k562_essential_k562,0,0.9,test,systema_bias,all,0.3133739830075698
GenePert,replogle_k562_essential_k562,0,0.9,test,systema_bias,de,0.2778016704058322
GenePert,replogle_k562_essential_k562,0,0.9,test,systema_bias,hvg,0.32547360454213875
GenePert,replogle_k562_essential_k562,0,0.9,test,systema_correlation,all,0.18211515147317645
GenePert,replogle_k562_essential_k562,0,0.9,test,systema_correlation,de,0.030229047621978998
GenePert,replogle_k562_essential_k562,0,0.9,test,systema_correlation,hvg,0.24932384042839437
GenePert,replogle_k562_essential_k562,0,9.9,cluster_test,correlation,all,0.24330423258235678
GenePert,replogle_k562_essential_k562,0,9.9,cluster_test,correlation,de,0.3114842376232363
GenePert,replogle_k562_essential_k562,0,9.9,cluster_test,correlation,hvg,0.26813098668380103
GenePert,replogle_k562_essential_k562,0,9.9,cluster_test,mae,all,0.05587836500422039
GenePert,replogle_k562_essential_k562,0,9.9,cluster_test,mae,de,0.27965610228670407
GenePert,replogle_k562_essential_k562,0,9.9,cluster_test,mae,hvg,0.06188759629564776
GenePert,replogle_k562_essential_k562,0,9.9,cluster_test,mse,all,0.007198581237757849
GenePert,replogle_k562_essential_k562,0,9.9,cluster_test,mse,de,0.1098276174743627
GenePert,replogle_k562_essential_k562,0,9.9,cluster_test,mse,hvg,0.009583924963557052
GenePert,replogle_k562_essential_k562,0,9.9,cluster_test,systema_bias,all,0.338639554737821
GenePert,replogle_k562_essential_k562,0,9.9,cluster_test,systema_bias,de,0.16925347264552493
GenePert,replogle_k562_essential_k562,0,9.9,cluster_test,systema_bias,hvg,0.29272347835414814
