method,context,repeat,x,set,metric_name,gene,value
scGPT,replogle_k562_essential_k562,0,0.0,cluster_test,correlation,all,0.006910527190244947
scGPT,replogle_k562_essential_k562,0,0.0,cluster_test,correlation,de,-0.04603513498343292
scGPT,replogle_k562_essential_k562,0,0.0,cluster_test,correlation,hvg,-0.015174868750480418
scGPT,replogle_k562_essential_k562,0,0.0,cluster_test,mae,all,0.05713563930409688
scGPT,replogle_k562_essential_k562,0,0.0,cluster_test,mae,de,0.29043984028619385
scGPT,replogle_k562_essential_k562,0,0.0,cluster_test,mae,hvg,0.06373238405675183
scGPT,replogle_k562_essential_k562,0,0.0,cluster_test,mse,all,0.007563837855498225
scGPT,replogle_k562_essential_k562,0,0.0,cluster_test,mse,de,0.1160861404241948
scGPT,replogle_k562_essential_k562,0,0.0,cluster_test,mse,hvg,0.010174660388705802
scGPT,replogle_k562_essential_k562,0,0.0,cluster_test,systema_bias,all,-0.36663281937944653
scGPT,replogle_k562_essential_k562,0,0.0,cluster_test,systema_bias,de,-0.573142413801064
scGPT,replogle_k562_essential_k562,0,0.0,cluster_test,systema_bias,hvg,-0.44916746593597834
scGPT,replogle_k562_essential_k562,0,0.0,cluster_test,systema_correlation,all,-0.12349650034975332
scGPT,replogle_k562_essential_k562,0,0.0,cluster_test,systema_correlation,de,-0.419188106435735
scGPT,replogle_k562_essential_k562,0,0.0,cluster_test,systema_correlation,hvg,-0.14873922633638403
scGPT,replogle_k562_essential_k562,0,0.0,test,correlation,all,0.01918393843850687
scGPT,replogle_k562_essential_k562,0,0.0,test,correlation,de,-0.0014981539482481572
scGPT,replogle_k562_essential_k562,0,0.0,test,correlation,hvg,0.014094003087245783
scGPT,replogle_k562_essential_k562,0,0.0,test,mae,all,0.03572617515769707
scGPT,replogle_k562_essential_k562,0,0.0,test,mae,de,0.14629225656314454
scGPT,replogle_k562_essential_k562,0,0.0,test,mae,hvg,0.03774293702344178
scGPT,replogle_k562_essential_k562,0,0.0,test,mse,all,0.0028231822249822924
scGPT,replogle_k562_essential_k562,0,0.0,test,mse,de,0.03798901890969463
scGPT,replogle_k562_essential_k562,0,0.0,test,mse,hvg,0.003506268225457566
