method,context,repeat,x,set,metric_name,gene,value
Biolord,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,correlation,all,0.1466827447096019
Biolord,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,correlation,de,0.23451472768799442
Biolord,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,correlation,hvg,0.25983641121809753
Biolord,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mae,all,0.10809409170629371
Biolord,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mae,de,0.32698938330303484
Biolord,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mae,hvg,0.12878230408297733
Biolord,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mse,all,0.03438478322483979
Biolord,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mse,de,0.19926382090287362
Biolord,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mse,hvg,0.04553314358279771
Biolord,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_bias,all,-0.5750503380142148
Biolord,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_bias,de,-0.602997294925563
Biolord,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_bias,hvg,-0.5547685904912635
Biolord,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_correlation,all,-0.14644359130637963
Biolord,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_correlation,de,-0.35295286058733294
Biolord,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_correlation,hvg,-0.1960725676864669
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,all,0.06860868652762385
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,de,-0.014854828239622461
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,hvg,0.10163265343357815
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mae,all,0.09358407004542832
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mae,de,0.300228899601829
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mae,hvg,0.10017162471526352
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mse,all,0.02723668071748371
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mse,de,0.20348260876210497
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mse,hvg,0.032357457423641295
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,all,-0.1188319536416421
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,de,-0.2832632270655373
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,hvg,-0.0685208992733095
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,all,0.11904102860066124
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,de,-0.08712138977227332
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,hvg,0.16830836722302547
Biolord,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,correlation,all,0.28750184581236465
Biolord,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,correlation,de,0.40449303921404284
Biolord,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,correlation,hvg,0.3991597179611149
Biolord,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,mae,all,0.08439504071145726
Biolord,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,mae,de,0.3373076460337656
Biolord,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,mae,hvg,0.1134769477237998
Biolord,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,mse,all,0.017647558754784468
Biolord,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,mse,de,0.1841508125081626
Biolord,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,mse,hvg,0.03169375684656626
Biolord,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,systema_bias,all,-0.4279341336929658
Biolord,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,systema_bias,de,-0.43187345913006225
Biolord,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,systema_bias,hvg,-0.4115339299749548
Biolord,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,systema_correlation,all,-0.2604579771029612
Biolord,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,systema_correlation,de,-0.5461255695183883
Biolord,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,systema_correlation,hvg,-0.36420344299637997
Biolord,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,all,0.12400795598326628
Biolord,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,de,0.10378592125030647
Biolord,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,hvg,0.16276389860402846
Biolord,replogle_rpe1_essential_rpe1,0,0.4,test,mae,all,0.055589345891783125
Biolord,replogle_rpe1_essential_rpe1,0,0.4,test,mae,de,0.21596092354768429
Biolord,replogle_rpe1_essential_rpe1,0,0.4,test,mae,hvg,0.0652150862332612
Biolord,replogle_rpe1_essential_rpe1,0,0.4,test,mse,all,0.007798485023221752
Biolord,replogle_rpe1_essential_rpe1,0,0.4,test,mse,de,0.09364821001750487
Biolord,replogle_rpe1_essential_rpe1,0,0.4,test,mse,hvg,0.011700600343256014
Biolord,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,all,0.017784307378409723
Biolord,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,de,-0.10680047505560296
Biolord,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,hvg,0.06272276233289827
Biolord,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,all,0.32761714123336405
Biolord,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,de,-0.013366024063630836
Biolord,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,hvg,0.41248383985891596
Biolord,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,correlation,all,0.4076997107471806
Biolord,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,correlation,de,0.5917645152554744
Biolord,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,correlation,hvg,0.5273576969586277
Biolord,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,mae,all,0.08151208062000781
Biolord,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,mae,de,0.3195377640219463
Biolord,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,mae,hvg,0.10931850845400805
Biolord,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,mse,all,0.016114651011357155
Biolord,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,mse,de,0.16718545260920917
Biolord,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,mse,hvg,0.029183109815415578
Biolord,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,systema_bias,all,-0.2755789225500682
Biolord,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,systema_bias,de,-0.21849839851839248
Biolord,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,systema_bias,hvg,-0.26591410317901193
Biolord,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,systema_correlation,all,-0.26039513182409024
Biolord,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,systema_correlation,de,-0.5081762238751285
Biolord,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,systema_correlation,hvg,-0.3511260568177251
Biolord,replogle_rpe1_essential_rpe1,0,0.9,test,correlation,all,0.17809413275872457
Biolord,replogle_rpe1_essential_rpe1,0,0.9,test,correlation,de,0.2593307505846098
Biolord,replogle_rpe1_essential_rpe1,0,0.9,test,correlation,hvg,0.22650257626597428
Biolord,replogle_rpe1_essential_rpe1,0,0.9,test,mae,all,0.05115833275737806
Biolord,replogle_rpe1_essential_rpe1,0,0.9,test,mae,de,0.20440753311954596
Biolord,replogle_rpe1_essential_rpe1,0,0.9,test,mae,hvg,0.06189786448093888
Biolord,replogle_rpe1_essential_rpe1,0,0.9,test,mse,all,0.0066023086121822635
Biolord,replogle_rpe1_essential_rpe1,0,0.9,test,mse,de,0.0844345160387586
Biolord,replogle_rpe1_essential_rpe1,0,0.9,test,mse,hvg,0.010545775782880391
Biolord,replogle_rpe1_essential_rpe1,0,0.9,test,systema_bias,all,0.1580399061286912
Biolord,replogle_rpe1_essential_rpe1,0,0.9,test,systema_bias,de,0.08902935574122126
Biolord,replogle_rpe1_essential_rpe1,0,0.9,test,systema_bias,hvg,0.20814097798580455
Biolord,replogle_rpe1_essential_rpe1,0,0.9,test,systema_correlation,all,0.3575537813872461
Biolord,replogle_rpe1_essential_rpe1,0,0.9,test,systema_correlation,de,0.0579297976552181
Biolord,replogle_rpe1_essential_rpe1,0,0.9,test,systema_correlation,hvg,0.43296280269202186
Biolord,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,correlation,all,0.3235270575773731
Biolord,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,correlation,de,0.47988862193861237
Biolord,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,correlation,hvg,0.38076960721009007
Biolord,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,mae,all,0.08269091062386337
Biolord,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,mae,de,0.35283368303946394
Biolord,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,mae,hvg,0.11466685034025662
Biolord,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,mse,all,0.016862705878617358
Biolord,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,mse,de,0.19587172919497528
Biolord,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,mse,hvg,0.03237797542019084
Biolord,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,systema_bias,all,-0.3843156439157154
Biolord,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,systema_bias,de,-0.39370861625758063
Biolord,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,systema_bias,hvg,-0.4300184499886334
Biolord,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,systema_correlation,all,-0.26605963231470553
Biolord,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,systema_correlation,de,-0.4695511784068542
Biolord,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,systema_correlation,hvg,-0.36177561307996825
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,all,0.1819935287615009
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,de,0.3109111190676234
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,hvg,0.1960184345399082
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mae,all,0.0484433568974863
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mae,de,0.20472228543577903
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mae,hvg,0.059970065622168764
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mse,all,0.006112162793458751
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mse,de,0.08524164664407259
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mse,hvg,0.010301006424068
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,all,0.02948585761676073
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,de,0.012878762246260863
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,hvg,-0.009460007928718223
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,all,0.4196599802242756
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,de,0.12564979206715354
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,hvg,0.4863099044112658
Biolord,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,correlation,all,0.5446468317375676
Biolord,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,correlation,de,0.6735853083843136
Biolord,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,correlation,hvg,0.6377442273188801
Biolord,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,mae,all,0.07362041892853702
Biolord,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,mae,de,0.2849951150555349
Biolord,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,mae,hvg,0.09748101386300627
Biolord,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,mse,all,0.013139803930401693
Biolord,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,mse,de,0.13952982708666947
Biolord,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,mse,hvg,0.02347879650905092
Biolord,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,systema_bias,all,-0.10491121943929707
Biolord,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,systema_bias,de,-0.14100794329264688
Biolord,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,systema_bias,hvg,-0.1399089886553318
Biolord,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,systema_correlation,all,-0.12812267350175316
Biolord,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,systema_correlation,de,-0.2833541189941806
Biolord,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,systema_correlation,hvg,-0.17224018461437451
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,all,0.2624383114455968
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,de,0.3432439956479084
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,hvg,0.3073677294380796
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mae,all,0.04801800119005779
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mae,de,0.1958124341010626
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mae,hvg,0.05857742986526668
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mse,all,0.005956997287691284
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mse,de,0.08125740480861912
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mse,hvg,0.009802920380145847
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,all,0.30434751325427717
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,de,0.22980029493173146
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,hvg,0.3196138793541638
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,all,0.38585309373122384
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,de,0.1160515080859979
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,hvg,0.4463541943573465
Biolord,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,correlation,all,0.5203554800934601
Biolord,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,correlation,de,0.6672518518473589
Biolord,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,correlation,hvg,0.5987283838136359
Biolord,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,mae,all,0.07409077955922411
Biolord,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,mae,de,0.28012066889159914
Biolord,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,mae,hvg,0.09809004799693596
Biolord,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,mse,all,0.013258316383458797
Biolord,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,mse,de,0.13610700245546614
Biolord,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,mse,hvg,0.023746212904831348
Biolord,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,systema_bias,all,-0.1397573836465772
Biolord,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,systema_bias,de,-0.16614138199614628
Biolord,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,systema_bias,hvg,-0.18112595397156028
Biolord,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,systema_correlation,all,-0.06116443462407246
