method,context,repeat,x,set,metric_name,gene,value
GEARS,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,correlation,all,0.0163508579285274
GEARS,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,correlation,de,0.09003959976284481
GEARS,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,correlation,hvg,0.02367879949327272
GEARS,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mae,all,0.08744766942584456
GEARS,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mae,de,0.4067105902233391
GEARS,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mae,hvg,0.12652779244336196
GEARS,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mse,all,0.019833891190749922
GEARS,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mse,de,0.25364102503967484
GEARS,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mse,hvg,0.04035637214967093
GEARS,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_bias,all,-0.7704201847636593
GEARS,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_bias,de,-0.7836604282925872
GEARS,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_bias,hvg,-0.844157455999498
GEARS,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_correlation,all,-0.48392782987861016
GEARS,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_correlation,de,-0.7358669446285385
GEARS,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_correlation,hvg,-0.5884382997675437
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,all,0.0007824638650299235
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,de,0.040161085116917496
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,hvg,0.0033176365602325506
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,mae,all,0.04787288028928742
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,mae,de,0.22619287702909563
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,mae,hvg,0.05956458746597283
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,mse,all,0.006575430791251277
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,mse,de,0.10274430349556446
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,mse,hvg,0.011407058348416757
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,all,-0.3026522040804155
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,de,-0.32578774294267604
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,hvg,-0.3406812942936218
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,all,0.4136111290413161
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,de,0.0017704723413961212
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,hvg,0.4747264192415463
GEARS,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,correlation,all,0.3304721468250265
GEARS,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,correlation,de,0.581825282060585
GEARS,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,correlation,hvg,0.47360115804194275
GEARS,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,mae,all,0.089022178295195
GEARS,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,mae,de,0.3311800909301202
GEARS,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,mae,hvg,0.11603224942389316
GEARS,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,mse,all,0.01774420407679544
GEARS,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,mse,de,0.181887323727093
GEARS,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,mse,hvg,0.03137220746614864
GEARS,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,systema_bias,all,-0.34138214114156024
GEARS,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,systema_bias,de,-0.22112108459756694
GEARS,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,systema_bias,hvg,-0.3077416227795415
GEARS,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,systema_correlation,all,-0.23199303493793938
GEARS,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,systema_correlation,de,-0.5842066094710301
GEARS,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,systema_correlation,hvg,-0.36311905794563376
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,all,0.1484675254702495
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,de,0.21986943502343378
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,hvg,0.20691725974378572
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,mae,all,0.06656041703430705
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,mae,de,0.20499246308104382
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,mae,hvg,0.0764198738848525
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,mse,all,0.009112533801398696
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,mse,de,0.09135364012436847
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,mse,hvg,0.013173596997658306
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,all,0.12357984246521735
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,de,0.1502840067207864
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,hvg,0.19153234550994913
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,all,0.18554585103865706
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,de,-0.033371188110174865
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,hvg,0.283457684357283
GEARS,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,correlation,all,0.28068528649954894
GEARS,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,correlation,de,0.5295643279123036
GEARS,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,correlation,hvg,0.4126292522376157
GEARS,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,mae,all,0.08783844218531099
GEARS,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,mae,de,0.35463944902043426
GEARS,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,mae,hvg,0.11934760693043633
GEARS,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,mse,all,0.01818712397498416
GEARS,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,mse,de,0.200167558093555
GEARS,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,mse,hvg,0.03401211806580458
GEARS,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,systema_bias,all,-0.397329713391206
GEARS,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,systema_bias,de,-0.26706279789279175
GEARS,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,systema_bias,hvg,-0.3641941248757041
GEARS,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,systema_correlation,all,-0.3435890195504014
GEARS,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,systema_correlation,de,-0.6705862564289969
GEARS,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,systema_correlation,hvg,-0.474386975006232
GEARS,replogle_rpe1_essential_rpe1,0,0.9,test,correlation,all,0.13703787999314637
GEARS,replogle_rpe1_essential_rpe1,0,0.9,test,correlation,de,0.22466405057302025
GEARS,replogle_rpe1_essential_rpe1,0,0.9,test,correlation,hvg,0.19273893077224763
GEARS,replogle_rpe1_essential_rpe1,0,0.9,test,mae,all,0.0577489091357434
GEARS,replogle_rpe1_essential_rpe1,0,0.9,test,mae,de,0.20875598528121284
GEARS,replogle_rpe1_essential_rpe1,0,0.9,test,mae,hvg,0.06857306278639766
GEARS,replogle_rpe1_essential_rpe1,0,0.9,test,mse,all,0.007553596669163543
GEARS,replogle_rpe1_essential_rpe1,0,0.9,test,mse,de,0.08989864073897276
GEARS,replogle_rpe1_essential_rpe1,0,0.9,test,mse,hvg,0.01178085578791454
GEARS,replogle_rpe1_essential_rpe1,0,0.9,test,systema_bias,all,0.07650973460413565
GEARS,replogle_rpe1_essential_rpe1,0,0.9,test,systema_bias,de,0.10159762880193493
GEARS,replogle_rpe1_essential_rpe1,0,0.9,test,systema_bias,hvg,0.14632274120344388
