method,context,repeat,x,set,metric_name,gene,value
PMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,correlation,all,0.3924377609462516
PMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,correlation,de,0.5903007968412013
PMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,correlation,hvg,0.45273337947165315
PMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mae,all,0.08237904221938172
PMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mae,de,0.29965488581781635
PMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mae,hvg,0.11109798160430126
PMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mse,all,0.015542044694844208
PMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mse,de,0.14634485222334426
PMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mse,hvg,0.02881243527957027
PMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_bias,all,-0.4659544153202955
PMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_bias,de,-0.4584730446731922
PMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_bias,hvg,-0.45926179913849646
PMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_correlation,all,-0.017152587026797592
PMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_correlation,de,-0.09228319583971294
PMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_correlation,hvg,-0.1413723051176547
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,all,0.24680896543065772
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,de,0.5699041833596256
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,hvg,0.26957179493912276
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,mae,all,0.053144627387553746
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,mae,de,0.16891425753620246
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,mae,hvg,0.06256508818434474
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,mse,all,0.006266609124002938
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,mse,de,0.055318018582056386
