method,context,repeat,x,set,metric_name,gene,value
scLambda,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,correlation,all,0.0163508579285274
scLambda,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,correlation,de,0.09003959976284481
scLambda,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,correlation,hvg,0.02367879949327272
scLambda,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mae,all,0.08744766942584456
scLambda,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mae,de,0.4067105902233391
scLambda,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mae,hvg,0.12652779244336196
scLambda,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mse,all,0.019833891190749922
scLambda,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mse,de,0.25364102503967484
scLambda,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mse,hvg,0.04035637214967093
scLambda,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_bias,all,-0.7704201847636593
scLambda,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_bias,de,-0.7836604282925872
scLambda,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_bias,hvg,-0.844157455999498
scLambda,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_correlation,all,-0.48392782987861016
scLambda,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_correlation,de,-0.7358669446285385
scLambda,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_correlation,hvg,-0.5884382997675437
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,all,0.0007824638650299235
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,de,0.040161085116917496
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,hvg,0.0033176365602325506
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,mae,all,0.04787288028928742
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,mae,de,0.22619287702909563
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,mae,hvg,0.05956458746597283
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,mse,all,0.006575430791251277
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,mse,de,0.10274430349556446
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,mse,hvg,0.011407058348416757
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,all,-0.3026522040804155
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,de,-0.32578774294267604
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,hvg,-0.3406812942936218
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,all,0.4136111290413161
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,de,0.0017704723413961212
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,hvg,0.4747264192415463
scLambda,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,correlation,all,0.6289245879522817
scLambda,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,correlation,de,0.7624113256222897
scLambda,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,correlation,hvg,0.7417847734972021
scLambda,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,mae,all,0.07833588107730656
scLambda,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,mae,de,0.3324520540666
scLambda,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,mae,hvg,0.10783282023796087
scLambda,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,mse,all,0.015558490916174584
scLambda,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,mse,de,0.17954663297590379
scLambda,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,mse,hvg,0.029398478945183847
scLambda,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,systema_bias,all,0.010383597652887345
scLambda,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,systema_bias,de,-0.00562681832448682
scLambda,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,systema_bias,hvg,-0.01637466198546139
scLambda,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,systema_correlation,all,-0.4216466468849953
scLambda,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,systema_correlation,de,-0.7084208303702147
scLambda,replogle_rpe1_essential_rpe1,0,0.4,cluster_test,systema_correlation,hvg,-0.5278729448736447
scLambda,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,all,0.24564369419038082
scLambda,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,de,0.27813314173843934
scLambda,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,hvg,0.30292087308282434
scLambda,replogle_rpe1_essential_rpe1,0,0.4,test,mae,all,0.04749566895049817
scLambda,replogle_rpe1_essential_rpe1,0,0.4,test,mae,de,0.20437474009381468
scLambda,replogle_rpe1_essential_rpe1,0,0.4,test,mae,hvg,0.05804323669944926
scLambda,replogle_rpe1_essential_rpe1,0,0.4,test,mse,all,0.005989057469941995
scLambda,replogle_rpe1_essential_rpe1,0,0.4,test,mse,de,0.08920346629741971
scLambda,replogle_rpe1_essential_rpe1,0,0.4,test,mse,hvg,0.009858025801722636
scLambda,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,all,0.4720916021089709
scLambda,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,de,0.3684547209342517
scLambda,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,hvg,0.48301492657157247
scLambda,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,all,0.37910226805914893
scLambda,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,de,-0.018490623507526928
scLambda,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,hvg,0.4464835481789481
scLambda,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,correlation,all,0.3325267256807325
scLambda,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,correlation,de,0.5165578910319426
scLambda,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,correlation,hvg,0.4574102943787739
scLambda,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,mae,all,0.08529294411204696
scLambda,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,mae,de,0.3645742086051869
scLambda,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,mae,hvg,0.11921467482589022
scLambda,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,mse,all,0.01824117041582123
scLambda,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,mse,de,0.20916408562234062
scLambda,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,mse,hvg,0.03522831280354827
scLambda,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,systema_bias,all,-0.32659766299008247
scLambda,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,systema_bias,de,-0.2637005230632241
scLambda,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,systema_bias,hvg,-0.31731770507411106
scLambda,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,systema_correlation,all,-0.45435713220481255
scLambda,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,systema_correlation,de,-0.7102706673280925
scLambda,replogle_rpe1_essential_rpe1,0,0.9,cluster_test,systema_correlation,hvg,-0.55495866031683
scLambda,replogle_rpe1_essential_rpe1,0,0.9,test,correlation,all,0.1692939127304728
scLambda,replogle_rpe1_essential_rpe1,0,0.9,test,correlation,de,0.27049470896223127
scLambda,replogle_rpe1_essential_rpe1,0,0.9,test,correlation,hvg,0.21281829762658394
scLambda,replogle_rpe1_essential_rpe1,0,0.9,test,mae,all,0.048611013127418466
scLambda,replogle_rpe1_essential_rpe1,0,0.9,test,mae,de,0.21383922541817935
scLambda,replogle_rpe1_essential_rpe1,0,0.9,test,mae,hvg,0.05991561798233808
scLambda,replogle_rpe1_essential_rpe1,0,0.9,test,mse,all,0.006401823707399226
scLambda,replogle_rpe1_essential_rpe1,0,0.9,test,mse,de,0.0926892935828234
scLambda,replogle_rpe1_essential_rpe1,0,0.9,test,mse,hvg,0.010684371682936237
scLambda,replogle_rpe1_essential_rpe1,0,0.9,test,systema_bias,all,0.14881677563261322
scLambda,replogle_rpe1_essential_rpe1,0,0.9,test,systema_bias,de,0.1167958441980313
scLambda,replogle_rpe1_essential_rpe1,0,0.9,test,systema_bias,hvg,0.19263220625321767
scLambda,replogle_rpe1_essential_rpe1,0,0.9,test,systema_correlation,all,0.38248686086590855
scLambda,replogle_rpe1_essential_rpe1,0,0.9,test,systema_correlation,de,0.017507439625618675
scLambda,replogle_rpe1_essential_rpe1,0,0.9,test,systema_correlation,hvg,0.44302798484496075
scLambda,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,correlation,all,0.6117944394451743
scLambda,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,correlation,de,0.7561882187585818
scLambda,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,correlation,hvg,0.7183031584106649
scLambda,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,mae,all,0.0785399541786533
scLambda,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,mae,de,0.3398087629402957
scLambda,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,mae,hvg,0.10858619425898043
scLambda,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,mse,all,0.015823760136223233
scLambda,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,mse,de,0.18776951479231285
scLambda,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,mse,hvg,0.030295987575719947
scLambda,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,systema_bias,all,0.017963944017497846
scLambda,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,systema_bias,de,-0.03520749804827994
scLambda,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,systema_bias,hvg,-0.02678629851623452
scLambda,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,systema_correlation,all,-0.44403867523624546
scLambda,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,systema_correlation,de,-0.6886055914410937
scLambda,replogle_rpe1_essential_rpe1,0,9.9,cluster_test,systema_correlation,hvg,-0.5436148222510852
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,all,0.32610911467502485
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,de,0.4226058462364304
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,hvg,0.3777822698434409
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,mae,all,0.04560270066012498
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,mae,de,0.19242828214443072
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,mae,hvg,0.05527408731830955
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,mse,all,0.005462119953185131
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,mse,de,0.07946454863542239
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,mse,hvg,0.008842967211452234
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,all,0.43440905329586
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,de,0.3753039104482103
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,hvg,0.4226779910534819
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,all,0.4321376577246399
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,de,0.1263438367933137
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,hvg,0.49602843603664826
scLambda,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,correlation,all,0.644163251729724
scLambda,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,correlation,de,0.7900753724276688
scLambda,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,correlation,hvg,0.7467921488305672
scLambda,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,mae,all,0.07828061319881016
scLambda,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,mae,de,0.33899514992579566
scLambda,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,mae,hvg,0.10809859282522391
scLambda,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,mse,all,0.015581116777966215
scLambda,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,mse,de,0.18478217987348192
scLambda,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,mse,hvg,0.029680073109349968
scLambda,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,systema_bias,all,0.04879979418905554
scLambda,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,systema_bias,de,-0.0024463870138674328
scLambda,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,systema_bias,hvg,-0.0010538165001514408
scLambda,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,systema_correlation,all,-0.4390665397003265
scLambda,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,systema_correlation,de,-0.6846112008820437
scLambda,replogle_rpe1_essential_rpe1,0,29.9,cluster_test,systema_correlation,hvg,-0.5386618008036527
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,all,0.34813737029134534
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,de,0.44216647482321525
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,hvg,0.3966565757127446
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,mae,all,0.04557110634971571
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,mae,de,0.1937199779170963
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,mae,hvg,0.05512932965908039
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,mse,all,0.005484536573891004
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,mse,de,0.08061911579712149
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,mse,hvg,0.00889006519371608
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,all,0.40745541554369913
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,de,0.33586667055659014
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,hvg,0.38904679944108483
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,all,0.43538069649795486
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,de,0.13986245913748654
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,hvg,0.4929160704022932
scLambda,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,correlation,all,0.6482123069670207
scLambda,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,correlation,de,0.8002550078135713
scLambda,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,correlation,hvg,0.7489167322653573
scLambda,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,mae,all,0.07745073797567291
scLambda,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,mae,de,0.33314966207746954
scLambda,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,mae,hvg,0.10656638062291338
scLambda,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,mse,all,0.01529125343776431
scLambda,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,mse,de,0.18008633799335128
scLambda,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,mse,hvg,0.029049239012293806
scLambda,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,systema_bias,all,0.051656267368229855
scLambda,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,systema_bias,de,0.0062184721762269515
scLambda,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,systema_bias,hvg,-0.0005531507010632735
scLambda,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,systema_correlation,all,-0.4207684960913861
scLambda,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,systema_correlation,de,-0.6672886196924197
scLambda,replogle_rpe1_essential_rpe1,0,49.9,cluster_test,systema_correlation,hvg,-0.5223488174867782
scLambda,replogle_rpe1_essential_rpe1,0,49.9,test,correlation,all,0.3624249178790339
scLambda,replogle_rpe1_essential_rpe1,0,49.9,test,correlation,de,0.4720985579397947
scLambda,replogle_rpe1_essential_rpe1,0,49.9,test,correlation,hvg,0.4096214136075645
scLambda,replogle_rpe1_essential_rpe1,0,49.9,test,mae,all,0.04482565951612935
scLambda,replogle_rpe1_essential_rpe1,0,49.9,test,mae,de,0.17937858070402604
scLambda,replogle_rpe1_essential_rpe1,0,49.9,test,mae,hvg,0.0542295226595621
scLambda,replogle_rpe1_essential_rpe1,0,49.9,test,mse,all,0.005106384067212688
scLambda,replogle_rpe1_essential_rpe1,0,49.9,test,mse,de,0.06644695488926011
scLambda,replogle_rpe1_essential_rpe1,0,49.9,test,mse,hvg,0.008120889362006745
scLambda,replogle_rpe1_essential_rpe1,0,49.9,test,systema_bias,all,0.44410622686465523
scLambda,replogle_rpe1_essential_rpe1,0,49.9,test,systema_bias,de,0.3672695256140667
scLambda,replogle_rpe1_essential_rpe1,0,49.9,test,systema_bias,hvg,0.42435303279278586
scLambda,replogle_rpe1_essential_rpe1,0,49.9,test,systema_correlation,all,0.4588681916681485
scLambda,replogle_rpe1_essential_rpe1,0,49.9,test,systema_correlation,de,0.21936189438674203
scLambda,replogle_rpe1_essential_rpe1,0,49.9,test,systema_correlation,hvg,0.5212354601651693
scLambda,replogle_rpe1_essential_rpe1,0,80.0,cluster_test,correlation,all,0.6439469680642741
scLambda,replogle_rpe1_essential_rpe1,0,80.0,cluster_test,correlation,de,0.7968745600897854
scLambda,replogle_rpe1_essential_rpe1,0,80.0,cluster_test,correlation,hvg,0.7432082012358792
scLambda,replogle_rpe1_essential_rpe1,0,80.0,cluster_test,mae,all,0.0784416424274289
scLambda,replogle_rpe1_essential_rpe1,0,80.0,cluster_test,mae,de,0.3389935181874391
scLambda,replogle_rpe1_essential_rpe1,0,80.0,cluster_test,mae,hvg,0.10845196721737783
scLambda,replogle_rpe1_essential_rpe1,0,80.0,cluster_test,mse,all,0.01568927107513779
scLambda,replogle_rpe1_essential_rpe1,0,80.0,cluster_test,mse,de,0.1851512184348784
scLambda,replogle_rpe1_essential_rpe1,0,80.0,cluster_test,mse,hvg,0.02999318538470747
scLambda,replogle_rpe1_essential_rpe1,0,80.0,cluster_test,systema_bias,all,0.03716491914536824
scLambda,replogle_rpe1_essential_rpe1,0,80.0,cluster_test,systema_bias,de,-0.0006471292823337307
scLambda,replogle_rpe1_essential_rpe1,0,80.0,cluster_test,systema_bias,hvg,-0.013658245569649459
scLambda,replogle_rpe1_essential_rpe1,0,80.0,cluster_test,systema_correlation,all,-0.4275472872697797
scLambda,replogle_rpe1_essential_rpe1,0,80.0,cluster_test,systema_correlation,de,-0.6806611872218334
scLambda,replogle_rpe1_essential_rpe1,0,80.0,cluster_test,systema_correlation,hvg,-0.5283360625402018
scLambda,replogle_rpe1_essential_rpe1,0,80.0,test,correlation,all,0.39393758671487283
scLambda,replogle_rpe1_essential_rpe1,0,80.0,test,correlation,de,0.5140330723006046
scLambda,replogle_rpe1_essential_rpe1,0,80.0,test,correlation,hvg,0.4425113827227268
scLambda,replogle_rpe1_essential_rpe1,0,80.0,test,mae,all,0.04533460520256663
scLambda,replogle_rpe1_essential_rpe1,0,80.0,test,mae,de,0.19188513765207305
scLambda,replogle_rpe1_essential_rpe1,0,80.0,test,mae,hvg,0.05484089320386068
scLambda,replogle_rpe1_essential_rpe1,0,80.0,test,mse,all,0.005385576075358574
scLambda,replogle_rpe1_essential_rpe1,0,80.0,test,mse,de,0.07874801039699762
scLambda,replogle_rpe1_essential_rpe1,0,80.0,test,mse,hvg,0.00877052457810709
scLambda,replogle_rpe1_essential_rpe1,0,80.0,test,systema_bias,all,0.3872260837886581
scLambda,replogle_rpe1_essential_rpe1,0,80.0,test,systema_bias,de,0.29419518624020474
scLambda,replogle_rpe1_essential_rpe1,0,80.0,test,systema_bias,hvg,0.36983131410390696
scLambda,replogle_rpe1_essential_rpe1,0,80.0,test,systema_correlation,all,0.45949416266041015
scLambda,replogle_rpe1_essential_rpe1,0,80.0,test,systema_correlation,de,0.20411883128317077
scLambda,replogle_rpe1_essential_rpe1,0,80.0,test,systema_correlation,hvg,0.5197447805954887
scLambda,replogle_rpe1_essential_rpe1,1,0.0,cluster_test,correlation,all,0.0163508579285274
scLambda,replogle_rpe1_essential_rpe1,1,0.0,cluster_test,correlation,de,0.09003959976284481
scLambda,replogle_rpe1_essential_rpe1,1,0.0,cluster_test,correlation,hvg,0.02367879949327272
scLambda,replogle_rpe1_essential_rpe1,1,0.0,cluster_test,mae,all,0.08744766942584456
scLambda,replogle_rpe1_essential_rpe1,1,0.0,cluster_test,mae,de,0.4067105902233391
scLambda,replogle_rpe1_essential_rpe1,1,0.0,cluster_test,mae,hvg,0.12652779244336196
scLambda,replogle_rpe1_essential_rpe1,1,0.0,cluster_test,mse,all,0.019833891190749922
scLambda,replogle_rpe1_essential_rpe1,1,0.0,cluster_test,mse,de,0.25364102503967484
scLambda,replogle_rpe1_essential_rpe1,1,0.0,cluster_test,mse,hvg,0.04035637214967093
scLambda,replogle_rpe1_essential_rpe1,1,0.0,cluster_test,systema_bias,all,-0.7704201847636593
scLambda,replogle_rpe1_essential_rpe1,1,0.0,cluster_test,systema_bias,de,-0.7836604282925872
scLambda,replogle_rpe1_essential_rpe1,1,0.0,cluster_test,systema_bias,hvg,-0.844157455999498
scLambda,replogle_rpe1_essential_rpe1,1,0.0,cluster_test,systema_correlation,all,-0.48392782987861016
